filename	scannr	ion_injection_time	tmt_1	tmt_2	tmt_3	tmt_4	tmt_5	tmt_6	tmt_7	tmt_8	tmt_9	tmt_10	tmt_11	tmt_12	tmt_13	tmt_14	tmt_15	tmt_16
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=71943	22.0	347407.47	312729.9	158087.73	260108.8	283613.78	233921.88	264962.22	179954.42	350506.06	178120.8	272957.4	244915.2	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=72012	22.0	479375.12	389131.06	248293.25	323412.94	322422.3	225904.72	309702.66	156993.69	380524.25	192549.16	295369.6	545263.44	14591.744	13121.157	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=72040	22.0	23039.303	150580.86	10956.298	310048.3	11635.472	189861.14	14867.877	13894.66	205854.47	0.0	134460.42	14991.912	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=72073	12.053851	1301598.6	1631102.5	707871.4	954607.1	1278751.1	941371.9	1613369.1	516395.84	1562939.6	632641.6	1123031.1	2316779.2	0.0	59494.207	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=72198	14.942022	787969.56	688070.9	361216.84	528210.0	533807.8	364436.8	538412.25	292002.03	632834.56	385216.03	525324.3	890620.1	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=72304	11.51418	781848.44	661868.3	413743.66	622287.1	567576.7	532763.2	662344.06	340254.28	810925.5	382604.88	724931.0	631006.0	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=72344	22.0	2710365.0	3291949.2	1339197.0	1706902.6	2441484.5	1472604.5	2755153.2	885218.7	2809411.2	1507282.9	1888676.6	3658016.5	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=72376	0.8767938	10530571.0	8666856.0	6250875.0	9066691.0	8295696.5	7162144.5	8823296.0	5793111.5	10756786.0	5662978.0	9054895.0	7903242.0	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=72601	22.0	315669.6	165575.2	162916.78	174848.1	145385.75	111660.29	195183.08	84823.875	121883.14	113385.03	136365.7	149786.69	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=72648	22.0	142917.39	87212.76	73253.4	100801.67	82254.54	83091.05	89442.086	41574.258	101500.875	35611.76	75591.11	84964.84	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=72718	22.0	720810.4	442447.0	332782.38	538885.94	443110.47	378092.38	451062.16	270213.72	381298.88	280376.22	406367.4	464375.5	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=72798	22.0	667380.5	355487.94	342629.8	483495.78	375594.0	302261.34	436387.53	230181.81	330530.88	303508.62	447267.66	349654.28	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=72855	22.0	192194.6	203048.34	91427.65	133403.61	148029.45	114262.1	224198.5	60609.887	200218.02	95745.984	166834.33	310085.34	9072.87	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=73021	22.0	524718.4	262938.0	266974.1	319901.78	254229.86	168851.11	321406.8	114354.56	182756.2	160748.25	187258.61	225728.2	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=73160	1.5496005	6078277.0	5085443.5	2779193.5	5556917.0	4353196.5	4204037.5	5316207.5	2898137.2	6336857.5	3489173.2	6003527.0	4478466.0	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=73377	8.870088	2665313.5	1108001.4	806436.44	1105295.9	1051817.5	1252222.0	1172237.5	638325.06	900440.4	631269.94	1012477.7	480043.62	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=73415	17.117153	3076583.2	1199869.6	981309.4	1355323.8	1194267.5	1346499.2	1334651.6	742410.0	1037485.7	729762.9	1281647.1	523656.4	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=73624	22.0	91391.78	77500.06	43753.86	112731.695	44911.027	123330.13	50963.44	57542.695	92844.66	32878.066	63750.363	80170.375	0.0	0.0	0.0	0.0
