set,sample_id,sample,cell,condition,sample_rna
S1,nanoSPLITs_SVEC_211007J_1cell_A5,SVEC_A5,SVEC,A5,39SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_A6,SVEC_A6,SVEC,A6,45SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_A7,SVEC_A7,SVEC,A7,40SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_A8,SVEC_A8,SVEC,A8,46SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_A9,SVEC_A9,SVEC,A9,41SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_A10,SVEC_A10,SVEC,A10,47SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_A11,SVEC_A11,SVEC,A11,42SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_A12,SVEC_A12,SVEC,A12,48SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_B1,SVEC_B1,SVEC,B1,25SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_B2,SVEC_B2,SVEC,B2,31SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_B3,SVEC_B3,SVEC,B3,26SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_B4,SVEC_B4,SVEC,B4,32SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_B5,SVEC_B5,SVEC,B5,27SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_B6,SVEC_B6,SVEC,B6,33SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_B7,SVEC_B7,SVEC,B7,28SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_B8,SVEC_B8,SVEC,B8,34SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_B9,SVEC_B9,SVEC,B9,29SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_B10,SVEC_B10,SVEC,B10,35SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_B11,SVEC_B11,SVEC,B11,30SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_B12,SVEC_B12,SVEC,B12,36SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_C1,SVEC_C1,SVEC,C1,13SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_C2,SVEC_C2,SVEC,C2,19SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_C3,SVEC_C3,SVEC,C3,14SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_C4,SVEC_C4,SVEC,C4,20SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_C5,SVEC_C5,SVEC,C5,15SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_C6,SVEC_C6,SVEC,C6,21SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_C8,SVEC_C8,SVEC,C8,22SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_C9,SVEC_C9,SVEC,C9,17SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_C10,SVEC_C10,SVEC,C10,23SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_C11,SVEC_C11,SVEC,C11,18SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_D2,SVEC_D2,SVEC,D2,7SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_D3,SVEC_D3,SVEC,D3,2SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_D6,SVEC_D6,SVEC,D6,9SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_D8,SVEC_D8,SVEC,D8,10SVEC
S1,nanoSPLITs_SVEC_211007J_1cell_D9,SVEC_D9,SVEC,D9,5SVEC
