filename	scannr	ion_injection_time	tmt_1	tmt_2	tmt_3	tmt_4	tmt_5	tmt_6
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=5775	100.0	63753.13	27212.764	40378.105	20845.082	19243.797	29141.547
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=5942	100.0	116760.39	58552.19	58611.46	42523.48	54343.25	39306.105
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=5943	100.0	83044.516	59234.11	66392.74	44519.38	50180.035	53509.383
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=5966	100.0	6151.173	4146.141	7498.205	7553.51	4347.3286	5148.516
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=6050	100.0	71645.72	36659.477	43981.46	46664.723	56758.824	42631.297
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=6097	100.0	87404.85	28833.414	31974.496	26103.936	24484.91	19069.717
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=6237	100.0	66037.914	63182.832	77523.41	57272.656	70230.26	68685.54
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=6290	100.0	40616.08	64677.348	74775.164	65938.29	55096.43	34823.56
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=6327	60.642	46455.363	72790.734	72309.51	42866.87	36193.188	22420.29
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=6328	100.0	15094.514	30198.555	22057.62	24248.758	31136.426	22046.74
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=6433	44.036	120557.55	167371.88	232764.42	155492.94	218939.78	92247.164
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=6556	100.0	63720.215	39701.125	44094.535	33241.344	34596.957	37684.145
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=6729	63.178	104157.195	107039.81	128366.67	169108.5	131965.02	75644.125
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=6756	100.0	12559.136	11763.534	18832.332	11606.435	13895.295	30291.28
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7008	100.0	36027.277	31670.875	34635.92	25856.605	33955.383	56509.14
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7072	100.0	189853.3	100307.58	107993.37	51639.67	67933.66	49175.977
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7104	100.0	14860.274	20593.672	30296.076	24560.674	16451.297	10928.582
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7138	96.262	149437.7	127151.92	166215.73	136936.81	88271.82	67930.21
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7154	100.0	11464.076	19005.469	25597.191	21372.549	31092.697	50981.152
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7244	100.0	38888.043	28937.588	30877.406	26387.088	33099.977	26151.025
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7351	100.0	21610.219	21993.434	25225.246	21824.99	47123.164	28080.93
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7379	100.0	179018.84	24615.83	31207.324	21343.371	27484.469	59831.33
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7392	100.0	65591.75	51191.914	70641.22	57625.67	42474.004	30558.953
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7540	100.0	65564.734	89229.0	118538.72	78041.51	76356.43	60837.793
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7604	100.0	79439.97	91178.99	98131.69	61805.348	226087.95	98289.25
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7712	100.0	65323.906	163824.0	170355.53	86510.72	199078.98	145359.0
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7822	100.0	17357.459	27071.516	24712.457	16762.0	32839.72	25430.777
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=7947	100.0	14484.332	17077.146	36193.824	22561.965	50076.438	17631.084
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8033	73.299	172841.89	67991.05	98286.484	62954.86	50344.92	39322.785
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8038	100.0	28394.238	20114.566	23022.12	19508.658	18830.18	22023.865
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8062	100.0	47462.71	12531.646	17616.6	10274.198	16014.18	13481.426
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8209	100.0	198756.39	85615.016	96395.58	60498.58	58760.453	64739.89
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8286	100.0	37436.2	48728.96	76929.31	43495.254	61262.68	21240.178
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8367	100.0	50066.6	90036.56	111009.2	92472.5	122653.33	49250.383
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8433	100.0	69915.85	48188.434	66895.59	38147.938	32947.184	40616.992
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8553	100.0	106376.78	92266.06	105416.4	66213.95	112504.56	104124.766
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8557	29.806	171754.23	199650.2	277882.1	240414.62	145438.16	103258.266
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8583	54.433	564679.4	184662.1	131246.3	122314.63	379787.88	887815.0
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8613	100.0	55744.59	40516.12	46767.664	26973.84	36129.086	65605.2
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8629	27.93	648233.75	404105.44	562086.1	361895.94	398544.28	892087.56
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8651	100.0	33517.457	29029.309	30787.898	20990.799	25858.322	25077.574
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8692	100.0	65823.586	63781.258	92055.43	72614.03	64176.348	50099.64
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8718	100.0	18097.709	13853.543	18964.637	11241.184	14790.311	18429.205
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=8904	100.0	108273.83	46358.418	56852.85	47706.406	40001.09	40018.62
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=9178	100.0	121337.27	91121.08	138453.73	81782.555	196393.45	117198.7
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=9327	64.284	128988.266	117108.47	206926.98	169696.05	127381.195	64465.277
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=9438	100.0	50254.008	20593.824	26212.582	19701.078	23049.977	112806.41
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=9474	63.472	132771.38	154371.08	200589.25	93350.29	177048.72	181424.52
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=9512	100.0	11893.328	12701.699	20215.008	10537.191	11069.592	15518.244
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=9694	324.94	12885.154	9248.014	8240.571	7653.116	7913.928	7469.243
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=9712	100.0	18122.145	26475.947	14740.51	9668.684	9358.539	4974.6973
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=10005	100.0	103827.89	90829.33	105544.72	68234.0	141190.02	60657.547
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=10168	100.0	48302.855	28035.291	31811.365	22876.879	27851.125	28359.803
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=10231	48.057	401295.47	244528.38	289226.47	229707.4	402994.03	475233.28
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=10261	55.5	439390.75	489577.16	561030.3	341331.4	1220204.6	1425189.6
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=10412	100.0	84962.35	122549.414	139175.22	118232.516	104140.75	87687.0
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=10619	100.0	6115.8516	9431.114	14181.652	9059.029	13512.345	8730.117
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=10802	88.895	163438.58	104552.68	101597.25	57741.297	69945.99	45134.773
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=10871	100.0	85454.56	52837.875	81800.11	39030.51	36140.414	26574.102
