filename	scannr	ion_injection_time	tmt_1	tmt_2	tmt_3	tmt_4	tmt_5	tmt_6	tmt_7	tmt_8	tmt_9	tmt_10	tmt_11	tmt_12	tmt_13	tmt_14	tmt_15	tmt_16
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=12961	22.0	4279.1675	9161.158	4579.202	5258.378	10257.861	6879.086	8599.296	5716.122	7111.324	3972.652	15553.895	8118.1	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=13722	22.0	40925.957	34612.49	36177.12	90697.086	59344.9	90872.03	60572.145	73876.41	44054.234	104393.24	46337.652	45086.477	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=14626	22.0	294310.47	193340.6	298879.34	290270.97	292917.28	340389.25	293640.06	385157.22	353428.12	589880.6	340301.5	299081.44	13873.091	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=18897	22.0	222966.25	147533.22	232901.77	332110.4	216061.39	458027.4	376808.16	245695.44	187231.11	439850.75	180492.19	261459.77	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=18969	22.0	323081.94	253757.62	414561.2	462471.12	423530.56	508954.12	438857.16	432072.9	452936.38	908092.7	427809.34	269943.16	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=19096	22.0	66872.26	53587.26	70594.79	90615.81	82956.94	111758.29	96543.07	94710.555	90245.336	158801.84	105727.22	117393.17	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=19384	22.0	107271.04	76586.555	107906.92	145441.23	132026.0	138755.66	117427.62	134290.9	105722.85	228381.14	102086.2	98844.71	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=20763	22.0	148431.05	118634.6	141191.31	190702.62	192599.69	218063.06	167354.77	199381.67	185303.72	312085.03	183118.27	213077.95	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=21797	22.0	86374.875	37342.242	67432.0	167200.95	141164.66	172381.14	149617.77	97599.484	81401.86	160659.47	90018.87	103949.07	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=21922	22.0	20787.674	14609.976	28945.65	22289.408	27539.016	29829.258	29534.459	23080.85	24818.838	49597.977	27754.645	35030.53	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=22111	22.0	50748.434	24408.93	47302.582	110565.28	93093.4	89217.75	71367.71	54524.223	50284.98	108309.1	52149.68	57809.754	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=23182	2.9031084	1839347.8	2962137.2	1459412.5	1824941.2	2850070.0	1733537.6	2537188.5	1522536.2	2389139.8	2942417.0	2382577.0	1263635.5	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=23263	13.696285	685454.25	276574.72	941741.9	664176.7	632631.3	834762.75	1387521.8	505026.5	598135.75	738220.75	574238.56	536663.94	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=23755	4.2592716	1469051.0	1477986.1	1354338.5	1543830.5	1733163.4	1583588.6	1690663.6	1578040.8	1472670.0	2639009.8	1430506.9	1117291.6	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=23789	22.0	73894.65	120049.4	74694.52	111134.336	107889.914	101705.77	109827.34	97637.49	107441.35	175634.14	101333.77	71823.984	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=23825	22.0	2977.4817	11015.922	4546.663	9607.391	22396.79	4628.6025	21827.445	7611.7407	26413.95	9358.996	28052.99	6320.0312	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=23954	22.0	48304.63	36578.34	31884.832	54080.586	59190.945	66207.03	47120.773	44676.65	52044.48	98704.75	56565.305	52371.348	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=24475	6.946286	2849909.5	2148074.0	2529166.0	3465133.5	3294297.8	4204637.5	3538845.2	3479499.2	3316986.0	5370317.0	2893752.5	3793370.0	0.0	115483.67	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=24561	22.0	10101.339	16164.712	15405.277	22895.96	23423.568	25132.898	30045.076	16265.095	20505.133	33954.883	14767.537	21873.7	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=24836	22.0	32796.094	51519.28	22201.572	28780.756	51663.465	32334.842	44044.332	34732.176	73802.086	51251.723	62023.297	38109.96	0.0	0.0	0.0	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=25236	22.0	45936.797	31435.027	40443.9	56736.816	34631.67	78795.79	51990.004	66602.51	41134.8	100691.05	47879.8	61198.664	0.0	0.0	3052.621	0.0
B10013SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=25452	22.0	34991.098	16764.195	22449.543	13771.24	22194.586	25350.578	17902.477	20307.072	18252.148	44109.887	23464.557	34070.906	0.0	0.0	0.0	0.0
