set,tag,sample_id,sample_name,condition
S1,TMT126,t0h,t0h,t0
S1,TMT127,t1h,t1h,t1
S1,TMT128,t2h,t2h,t2
S1,TMT129,t6h,t6h,t6
S1,TMT130,t24h,t24h,t24
S1,TMT131,t120h,t120h,t120
