source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomexchange accession number]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	factor value[condition]
G1-1	Mus musculus	not available	C2C12	myoblast	CVCL_0188	C2C12	normal	1	QExHF04026	proteomic profiling by mass spectrometry	PXD012986	data-dependent acquisition	QExHF04026.mzML	1	1	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	G1
G2-1	Mus musculus	not available	C2C12	myoblast	CVCL_0188	C2C12	normal	1	QExHF04028	proteomic profiling by mass spectrometry	PXD012986	data-dependent acquisition	QExHF04028.mzML	1	1	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	G2
G1-2	Mus musculus	not available	C2C12	myoblast	CVCL_0188	C2C12	normal	2	QExHF04036	proteomic profiling by mass spectrometry	PXD012986	data-dependent acquisition	QExHF04036.mzML	1	1	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	G1
G2-2	Mus musculus	not available	C2C12	myoblast	CVCL_0188	C2C12	normal	2	QExHF04038	proteomic profiling by mass spectrometry	PXD012986	data-dependent acquisition	QExHF04038.mzML	1	1	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	G2
G1-3	Mus musculus	not available	C2C12	myoblast	CVCL_0188	C2C12	normal	3	QExHF04046	proteomic profiling by mass spectrometry	PXD012986	data-dependent acquisition	QExHF04046.mzML	1	1	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	G1
G2-3	Mus musculus	not available	C2C12	myoblast	CVCL_0188	C2C12	normal	3	QExHF04048	proteomic profiling by mass spectrometry	PXD012986	data-dependent acquisition	QExHF04048.mzML	1	1	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	G2
